Startup_Name,Industry,City,Founded_Year,Funding_Amount_Cr,Employees,Funding_Stage
Flipkart,E-Commerce,Bengaluru,2007,1500,12000,Late
Paytm,FinTech,Noida,2010,1800,10000,Late
Zomato,FoodTech,Gurugram,2008,1200,8000,Late
Swiggy,FoodTech,Bengaluru,2014,1400,7000,Late
Byjus,EdTech,Bengaluru,2011,2200,15000,Late
Ola,Transportation,Bengaluru,2010,1700,9000,Late
Razorpay,FinTech,Bengaluru,2014,800,2500,Growth
CRED,FinTech,Bengaluru,2018,600,1800,Growth
Nykaa,E-Commerce,Mumbai,2012,950,3500,Growth
Boat,Consumer Goods,Delhi,2016,500,1200,Growth
Meesho,E-Commerce,Bengaluru,2015,1100,4500,Growth
Udaan,E-Commerce,Bengaluru,2016,1300,5000,Growth
Ather Energy,EV,Bengaluru,2013,700,2200,Growth
Unacademy,EdTech,Bengaluru,2015,850,3000,Growth
Lenskart,Retail,Gurugram,2010,1000,6000,Growth
PharmEasy,HealthTech,Mumbai,2015,900,4000,Growth
MobiKwik,FinTech,Gurugram,2009,450,1500,Early
Dunzo,Logistics,Bengaluru,2015,350,1000,Early
Zepto,Quick Commerce,Mumbai,2021,750,2000,Growth
Groww,FinTech,Bengaluru,2016,650,2500,Growth
